deltaP,Umax,Re,Cu,n,Nu0,NuInf,Lambda,AvgOmega,AvgNu,AvgVel,AvgP,PG,q,AvgVelOut
0.001000,4.59E-05,0.0229454,5,0.4,0.8,0,43581600,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.005000,0.00120011,4.80045,5,0.4,0.1,0,1666510,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000621134,1.24227,5,0.4,0.2,0,3219920,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000437406,0.583208,5,0.4,0.3,0,4572410,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000350302,0.350302,5,0.4,0.4,0,5709360,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000299895,0.239916,5,0.4,0.5,0,6668990,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000267246,0.178164,5,0.4,0.6,0,7483750,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000246642,0.140938,5,0.4,0.7,0,8108930,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000230416,0.115208,5,0.4,0.8,0,8679940,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.010000,0.00242878,9.71511,5,0.4,0.1,0,823460,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.00125717,2.51434,5,0.4,0.2,0,1590870,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000885338,1.18045,5,0.4,0.3,0,2259020,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000709038,0.709038,5,0.4,0.4,0,2820720,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000607007,0.485605,5,0.4,0.5,0,3294860,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000539938,0.359959,5,0.4,0.6,0,3704130,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000495896,0.283369,5,0.4,0.7,0,4033100,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.00046326,0.23163,5,0.4,0.8,0,4317230,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.000010,2.37E-06,0.00948956,5,0.5,0.1,0,843032000,0.620004,0.370964,8.24E-06,0.998781,2.51E-08,0.00331472,8.33E-06
0.000010,1.23E-06,0.00245549,5,0.5,0.2,0,1629000000,0.58116,0.406899,5.09E-06,0.998781,2.51E-08,0.00204401,5.14E-06
0.000010,8.65E-07,0.00115274,5,0.5,0.3,0,2313330000,0.555072,0.433856,3.50E-06,0.998781,2.51E-08,0.00140472,3.53E-06
0.000010,6.92E-07,0.000692385,5,0.5,0.4,0,2888570000,0.535426,0.45589,2.55E-06,0.998781,2.51E-08,0.00102317,2.57E-06
0.000010,5.93E-07,0.000474207,5,0.5,0.5,0,3374050000,0.519366,0.475142,1.94E-06,0.998781,2.51E-08,0.000778927,1.96E-06
0.000010,5.32E-07,0.000354454,5,0.5,0.6,0,3761650000,0.505177,0.493167,1.52E-06,0.998781,2.51E-08,0.000610399,1.53E-06
0.000010,4.91E-07,0.000280402,5,0.5,0.7,0,4075780000,0.492403,0.510285,1.22E-06,0.998781,2.51E-08,0.000490797,1.23E-06
0.000010,4.58E-07,0.000229218,5,0.5,0.8,0,4362670000,0.480798,0.526626,1.01E-06,0.998781,2.51E-08,0.000405914,1.02E-06
0.000050,1.19E-05,0.0474522,5,0.5,0.1,0,168591000,0.620379,0.370639,4.01E-05,0.998732,1.25E-07,0.0161541,4.06E-05
0.000050,6.14E-06,0.0122786,5,0.5,0.2,0,325770000,0.581211,0.406849,2.52E-05,0.998732,1.25E-07,0.0101456,2.55E-05
0.000050,4.32E-06,0.00576423,5,0.5,0.3,0,462623000,0.555068,0.433861,1.74E-05,0.998731,1.25E-07,0.00700651,1.76E-05
0.000050,3.46E-06,0.00346225,5,0.5,0.4,0,577659000,0.535447,0.455866,1.27E-05,0.998731,1.25E-07,0.00511113,1.28E-05
0.000050,2.96E-06,0.00237126,5,0.5,0.5,0,674747000,0.519381,0.475123,9.69E-06,0.998731,1.25E-07,0.00389324,9.78E-06
0.000050,2.66E-06,0.00177234,5,0.5,0.6,0,752299000,0.50519,0.493151,7.60E-06,0.998731,1.25E-07,0.00305173,7.67E-06
0.000050,2.45E-06,0.00140207,5,0.5,0.7,0,815122000,0.492412,0.510273,6.11E-06,0.998731,1.25E-07,0.002454,6.17E-06
0.000050,2.29E-06,0.00114614,5,0.5,0.8,0,872497000,0.480804,0.526617,5.05E-06,0.998731,1.25E-07,0.00202968,5.10E-06
0.000100,2.37E-05,0.0949154,5,0.5,0.1,0,84285500,0.620756,0.370313,7.60E-05,0.998672,2.51E-07,0.0307135,7.72E-05
0.000100,1.23E-05,0.0245601,5,0.5,0.2,0,162866000,0.581257,0.406803,4.96E-05,0.99867,2.51E-07,0.0199242,5.01E-05
0.000100,8.65E-06,0.0115298,5,0.5,0.3,0,231285000,0.555068,0.43386,3.47E-05,0.998669,2.51E-07,0.0139226,3.50E-05
0.000100,6.93E-06,0.00692531,5,0.5,0.4,0,288796000,0.535491,0.455815,2.54E-05,0.998669,2.51E-07,0.0101983,2.56E-05
0.000100,5.93E-06,0.00474307,5,0.5,0.5,0,337334000,0.519398,0.475102,1.94E-05,0.998668,2.51E-07,0.00777938,1.95E-05
0.000100,5.32E-06,0.00354488,5,0.5,0.6,0,376130000,0.505204,0.493133,1.52E-05,0.998668,2.51E-07,0.00610166,1.53E-05
0.000100,4.91E-06,0.00280428,5,0.5,0.7,0,407540000,0.492422,0.510259,1.22E-05,0.998668,2.51E-07,0.00490767,1.23E-05
0.000100,4.58E-06,0.00229239,5,0.5,0.8,0,436226000,0.480811,0.526606,1.01E-05,0.998668,2.51E-07,0.00405951,1.02E-05
0.000500,0.000118755,0.475019,5,0.5,0.1,0,16841400,NaN,NaN,NaN,NaN,1.25E-06,NaN,NaN
0.000500,6.15E-05,0.122916,5,0.5,0.2,0,32542700,0.581851,0.406218,0.000202207,0.998185,1.25E-06,0.100394,0.000252246
0.000500,4.33E-05,0.0577033,5,0.5,0.3,0,46213400,0.554774,0.434178,0.000155993,0.998176,1.25E-06,0.0627539,0.000157673
0.000500,3.47E-05,0.0346592,5,0.5,0.4,0,57704800,0.53537,0.455955,0.000120859,0.998171,1.25E-06,0.0485701,0.000122036
0.000500,2.97E-05,0.0237377,5,0.5,0.5,0,67403400,0.519397,0.475104,9.47E-05,0.998168,1.25E-06,0.0380714,9.57E-05
0.000500,2.66E-05,0.0177319,5,0.5,0.6,0,75194200,0.505247,0.493077,7.53E-05,0.998166,1.25E-06,0.0302485,7.60E-05
0.000500,2.45E-05,0.0140273,5,0.5,0.7,0,81473800,0.49247,0.510193,6.09E-05,0.998164,1.25E-06,0.0244597,6.15E-05
0.000500,2.29E-05,0.0114667,5,0.5,0.8,0,87208800,0.480858,0.526539,5.05E-05,0.998163,1.25E-06,0.0202767,5.09E-05
0.001000,0.000237786,0.951144,5,0.5,0.1,0,8410920,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,0.00012306,0.24612,5,0.5,0.2,0,16252200,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,8.67E-05,0.115543,5,0.5,0.3,0,23079500,NaN,NaN,NaN,NaN,2.51E-06,NaN,NaN
0.001000,6.94E-05,0.0694,5,0.5,0.4,0,28818500,0.534897,0.456506,0.000223635,0.997555,2.51E-06,0.0899998,0.00022613
0.001000,5.94E-05,0.0475313,5,0.5,0.5,0,33662100,0.519162,0.475393,0.000181475,0.997546,2.51E-06,0.0729603,0.000183317
0.001000,5.32E-05,0.0354824,5,0.5,0.6,0,37577300,0.505181,0.493163,0.000147364,0.99754,2.51E-06,0.0592403,0.000148845
0.001000,4.91E-05,0.0280693,5,0.5,0.7,0,40715500,0.492468,0.510196,0.000120529,0.997536,2.51E-06,0.0484545,0.000121745
0.001000,4.59E-05,0.0229454,5,0.5,0.8,0,43581600,0.480876,0.526512,0.000100464,0.997532,2.51E-06,0.0403899,0.000101482
0.005000,0.00120011,4.80045,5,0.5,0.1,0,1666510,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000621134,1.24227,5,0.5,0.2,0,3219920,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000437406,0.583208,5,0.5,0.3,0,4572410,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000350302,0.350302,5,0.5,0.4,0,5709360,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000299895,0.239916,5,0.5,0.5,0,6668990,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000267246,0.178164,5,0.5,0.6,0,7483750,0.503563,0.495283,0.000610487,0.99259,1.25E-05,0.2655,0.000667086
0.005000,0.000246642,0.140938,5,0.5,0.7,0,8108930,0.49116,0.511999,0.000531592,0.992548,1.25E-05,0.215218,0.000540748
0.005000,0.000230416,0.115208,5,0.5,0.8,0,8679940,0.480128,0.527592,0.000464074,0.992513,1.25E-05,0.187637,0.000471451
0.010000,0.00242878,9.71511,5,0.5,0.1,0,823460,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.00125717,2.51434,5,0.5,0.2,0,1590870,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000885338,1.18045,5,0.5,0.3,0,2259020,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000709038,0.709038,5,0.5,0.4,0,2820720,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000607007,0.485605,5,0.5,0.5,0,3294860,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000539938,0.359959,5,0.5,0.6,0,3704130,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.000495896,0.283369,5,0.5,0.7,0,4033100,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.00046326,0.23163,5,0.5,0.8,0,4317230,0.478713,0.529645,0.000844231,0.986294,2.51E-05,0.347101,0.000872113
0.000010,2.37E-06,0.00948956,5,0.6,0.1,0,843032000,0.586337,0.401835,1.75E-06,0.998781,2.51E-08,0.000703423,1.77E-06
0.000010,1.23E-06,0.00245549,5,0.6,0.2,0,1629000000,0.538397,0.452456,8.81E-07,0.998781,2.51E-08,0.00035447,8.91E-07
0.000010,8.65E-07,0.00115274,5,0.6,0.3,0,2313330000,0.504362,0.494234,5.79E-07,0.998781,2.51E-08,0.000233198,5.86E-07
0.000010,6.92E-07,0.000692385,5,0.6,0.4,0,2888570000,0.477389,0.531575,4.24E-07,0.998781,2.51E-08,0.00017074,4.29E-07
0.000010,5.93E-07,0.000474207,5,0.6,0.5,0,3374050000,0.453889,0.567727,3.30E-07,0.998781,2.51E-08,0.000132865,3.34E-07
0.000010,5.32E-07,0.000354454,5,0.6,0.6,0,3761650000,0.432388,0.604246,2.66E-07,0.998781,2.51E-08,0.000107178,2.69E-07
0.000010,4.91E-07,0.000280402,5,0.6,0.7,0,4075780000,0.412458,0.641497,2.21E-07,0.998781,2.51E-08,8.88E-05,2.23E-07
0.000010,4.58E-07,0.000229218,5,0.6,0.8,0,4362670000,0.394231,0.678861,1.88E-07,0.998781,2.51E-08,7.55E-05,1.90E-07
0.000050,1.19E-05,0.0474522,5,0.6,0.1,0,168591000,0.586345,0.401827,8.74E-06,0.998732,1.25E-07,0.00351651,8.84E-06
0.000050,6.14E-06,0.0122786,5,0.6,0.2,0,325770000,0.538398,0.452454,4.40E-06,0.998731,1.25E-07,0.00177242,4.45E-06
0.000050,4.32E-06,0.00576423,5,0.6,0.3,0,462623000,0.504367,0.494228,2.90E-06,0.998731,1.25E-07,0.00116607,2.93E-06
0.000050,3.46E-06,0.00346225,5,0.6,0.4,0,577659000,0.477394,0.531569,2.12E-06,0.99873,1.25E-07,0.000853773,2.15E-06
0.000050,2.96E-06,0.00237126,5,0.6,0.5,0,674747000,0.453895,0.567717,1.65E-06,0.99873,1.25E-07,0.000664383,1.67E-06
0.000050,2.66E-06,0.00177234,5,0.6,0.6,0,752299000,0.432389,0.604244,1.33E-06,0.99873,1.25E-07,0.000535957,1.35E-06
0.000050,2.45E-06,0.00140207,5,0.6,0.7,0,815122000,0.412458,0.641496,1.10E-06,0.99873,1.25E-07,0.000444284,1.12E-06
0.000050,2.29E-06,0.00114614,5,0.6,0.8,0,872497000,0.394242,0.678837,9.39E-07,0.99873,1.25E-07,0.000377727,9.49E-07
0.000100,2.37E-05,0.0949154,5,0.6,0.1,0,84285500,0.586353,0.401819,1.75E-05,0.99867,2.51E-07,0.00702981,1.77E-05
0.000100,1.23E-05,0.0245601,5,0.6,0.2,0,162866000,0.538401,0.45245,8.81E-06,0.998668,2.51E-07,0.00354497,8.91E-06
0.000100,8.65E-06,0.0115298,5,0.6,0.3,0,231285000,0.504333,0.494273,5.80E-06,0.998668,2.51E-07,0.00233235,5.86E-06
0.000100,6.93E-06,0.00692531,5,0.6,0.4,0,288796000,0.477393,0.53157,4.24E-06,0.998667,2.51E-07,0.00170773,4.29E-06
0.000100,5.93E-06,0.00474307,5,0.6,0.5,0,337334000,0.453885,0.567734,3.30E-06,0.998667,2.51E-07,0.00132891,3.34E-06
0.000100,5.32E-06,0.00354488,5,0.6,0.6,0,376130000,0.432398,0.604228,2.66E-06,0.998667,2.51E-07,0.00107208,2.69E-06
0.000100,4.91E-06,0.00280428,5,0.6,0.7,0,407540000,0.412459,0.641494,2.21E-06,0.998666,2.51E-07,0.00088871,2.23E-06
0.000100,4.58E-06,0.00229239,5,0.6,0.8,0,436226000,0.394234,0.678855,1.88E-06,0.998666,2.51E-07,0.000755576,1.90E-06
0.000500,0.000118755,0.475019,5,0.6,0.1,0,16841400,0.586363,0.40181,8.63E-05,0.998173,1.25E-06,0.0347348,8.73E-05
0.000500,6.15E-05,0.122916,5,0.6,0.2,0,32542700,0.53842,0.452429,4.40E-05,0.998167,1.25E-06,0.0177201,4.45E-05
0.000500,4.33E-05,0.0577033,5,0.6,0.3,0,46213400,0.504319,0.49429,2.90E-05,0.998163,1.25E-06,0.0116689,2.93E-05
0.000500,3.47E-05,0.0346592,5,0.6,0.4,0,57704800,0.477375,0.531596,2.12E-05,0.998161,1.25E-06,0.00854557,2.15E-05
0.000500,2.97E-05,0.0237377,5,0.6,0.5,0,67403400,0.453869,0.567759,1.65E-05,0.998159,1.25E-06,0.00665048,1.67E-05
0.000500,2.66E-05,0.0177319,5,0.6,0.6,0,75194200,0.432408,0.604211,1.33E-05,0.998158,1.25E-06,0.00536709,1.35E-05
0.000500,2.45E-05,0.0140273,5,0.6,0.7,0,81473800,0.412469,0.641476,1.10E-05,0.998156,1.25E-06,0.00444919,1.12E-05
0.000500,2.29E-05,0.0114667,5,0.6,0.8,0,87208800,0.394238,0.678846,9.39E-06,0.998156,1.25E-06,0.00378273,9.50E-06
0.001000,0.000237786,0.951144,5,0.6,0.1,0,8410920,0.586269,0.4019,0.000167948,0.997555,2.51E-06,0.0676335,0.000169934
0.001000,0.00012306,0.24612,5,0.6,0.2,0,16252200,0.538424,0.452424,8.78E-05,0.997541,2.51E-06,0.0353833,8.89E-05
0.001000,8.67E-05,0.115543,5,0.6,0.3,0,23079500,0.504306,0.494308,5.80E-05,0.997533,2.51E-06,0.0233501,5.87E-05
0.001000,6.94E-05,0.0694,5,0.6,0.4,0,28818500,0.477353,0.531629,4.25E-05,0.997528,2.51E-06,0.0171074,4.30E-05
0.001000,5.94E-05,0.0475313,5,0.6,0.5,0,33662100,0.453854,0.567783,3.30E-05,0.997524,2.51E-06,0.0133155,3.35E-05
0.001000,5.32E-05,0.0354824,5,0.6,0.6,0,37577300,0.432408,0.60421,2.67E-05,0.997521,2.51E-06,0.0107508,2.70E-05
0.001000,4.91E-05,0.0280693,5,0.6,0.7,0,40715500,0.412478,0.641458,2.21E-05,0.997519,2.51E-06,0.00891248,2.24E-05
0.001000,4.59E-05,0.0229454,5,0.6,0.8,0,43581600,0.394253,0.678813,1.88E-05,0.997517,2.51E-06,0.00757759,1.90E-05
0.005000,0.00120011,4.80045,5,0.6,0.1,0,1666510,NaN,NaN,NaN,NaN,1.25E-05,NaN,NaN
0.005000,0.000621134,1.24227,5,0.6,0.2,0,3219920,0.538024,0.452884,0.000419685,0.992542,1.25E-05,0.169915,0.000426922
0.005000,0.000437406,0.583208,5,0.6,0.3,0,4572410,0.504079,0.494606,0.000287307,0.992492,1.25E-05,0.116361,0.000292365
0.005000,0.000350302,0.350302,5,0.6,0.4,0,5709360,0.477163,0.531906,0.000212247,0.992462,1.25E-05,0.0859931,0.000216063
0.005000,0.000299895,0.239916,5,0.6,0.5,0,6668990,0.453665,0.568089,0.000165581,0.992442,1.25E-05,0.0671062,0.000168609
0.005000,0.000267246,0.178164,5,0.6,0.6,0,7483750,0.432482,0.604078,0.00013422,0.992428,1.25E-05,0.0544101,0.000136709
0.005000,0.000246642,0.140938,5,0.6,0.7,0,8108930,0.41255,0.641317,0.000111297,0.992416,1.25E-05,0.045127,0.000113385
0.005000,0.000230416,0.115208,5,0.6,0.8,0,8679940,0.394344,0.678619,9.46E-05,0.992407,1.25E-05,0.0383771,9.64E-05
0.010000,0.00242878,9.71511,5,0.6,0.1,0,823460,NaN,NaN,NaN,NaN,2.51E-05,NaN,NaN
0.010000,0.00125717,2.51434,5,0.6,0.2,0,1590870,0.53716,0.453881,0.000782594,0.986327,2.51E-05,0.32002,0.000804071
0.010000,0.000885338,1.18045,5,0.6,0.3,0,2259020,0.503634,0.495189,0.000561881,0.986195,2.51E-05,0.229285,0.000576093
0.010000,0.000709038,0.709038,5,0.6,0.4,0,2820720,0.476838,0.532383,0.000422299,0.986126,2.51E-05,0.1724,0.000433167
0.010000,0.000607007,0.485605,5,0.6,0.5,0,3294860,0.453376,0.568558,0.000331381,0.986082,2.51E-05,0.135327,0.000340018
0.010000,0.000539938,0.359959,5,0.6,0.6,0,3704130,0.432303,0.604398,0.000269484,0.986052,2.51E-05,0.110083,0.000276591
0.010000,0.000495896,0.283369,5,0.6,0.7,0,4033100,0.412659,0.641103,0.000224321,0.986028,2.51E-05,0.0916665,0.000230318
0.010000,0.00046326,0.23163,5,0.6,0.8,0,4317230,0.394465,0.67836,0.000190826,0.98601,2.51E-05,0.0779945,0.000195966
0.000010,2.37E-06,0.00948956,5,0.7,0.1,0,843032000,0.553246,0.435838,4.63E-07,0.998781,2.51E-08,0.000186935,4.70E-07
0.000010,1.23E-06,0.00245549,5,0.7,0.2,0,1629000000,0.486833,0.518031,2.39E-07,0.998781,2.51E-08,9.64E-05,2.42E-07
0.000010,8.65E-07,0.00115274,5,0.7,0.3,0,2313330000,0.43818,0.594056,1.61E-07,0.998781,2.51E-08,6.50E-05,1.63E-07
0.000010,6.92E-07,0.000692385,5,0.7,0.4,0,2888570000,0.399107,0.668531,1.21E-07,0.998781,2.51E-08,4.88E-05,1.23E-07
0.000010,5.93E-07,0.000474207,5,0.7,0.5,0,3374050000,0.366377,0.743144,9.67E-08,0.998781,2.51E-08,3.89E-05,9.78E-08
0.000010,5.32E-07,0.000354454,5,0.7,0.6,0,3761650000,0.337997,0.819536,8.02E-08,0.998781,2.51E-08,3.22E-05,8.09E-08
0.000010,4.91E-07,0.000280402,5,0.7,0.7,0,4075780000,0.31315,0.897785,6.83E-08,0.998781,2.51E-08,2.73E-05,6.87E-08
0.000010,4.58E-07,0.000229218,5,0.7,0.8,0,4362670000,0.291514,0.97679,5.95E-08,0.998781,2.51E-08,2.37E-05,5.96E-08
0.000050,1.19E-05,0.0474522,5,0.7,0.1,0,168591000,0.553259,0.435824,2.32E-06,0.998731,1.25E-07,0.000934762,2.35E-06
0.000050,6.14E-06,0.0122786,5,0.7,0.2,0,325770000,0.48683,0.518035,1.19E-06,0.998731,1.25E-07,0.000482037,1.21E-06
0.000050,4.32E-06,0.00576423,5,0.7,0.3,0,462623000,0.438179,0.594058,8.05E-07,0.99873,1.25E-07,0.000324861,8.16E-07
0.000050,3.46E-06,0.00346225,5,0.7,0.4,0,577659000,0.399105,0.668535,6.05E-07,0.99873,1.25E-07,0.000243989,6.13E-07
0.000050,2.96E-06,0.00237126,5,0.7,0.5,0,674747000,0.366375,0.743148,4.84E-07,0.99873,1.25E-07,0.00019465,4.89E-07
0.000050,2.66E-06,0.00177234,5,0.7,0.6,0,752299000,0.338008,0.819502,4.01E-07,0.99873,1.25E-07,0.000160992,4.05E-07
0.000050,2.45E-06,0.00140207,5,0.7,0.7,0,815122000,0.313152,0.897778,3.42E-07,0.99873,1.25E-07,0.000136664,3.43E-07
0.000050,2.29E-06,0.00114614,5,0.7,0.8,0,872497000,0.291506,0.976821,2.98E-07,0.99873,1.25E-07,0.000118624,2.98E-07
0.000100,2.37E-05,0.0949154,5,0.7,0.1,0,84285500,0.553255,0.435828,4.63E-06,0.998668,2.51E-07,0.00186973,4.70E-06
0.000100,1.23E-05,0.0245601,5,0.7,0.2,0,162866000,0.486829,0.518037,2.39E-06,0.998667,2.51E-07,0.000964197,2.42E-06
0.000100,8.65E-06,0.0115298,5,0.7,0.3,0,231285000,0.438177,0.594062,1.61E-06,0.998667,2.51E-07,0.000649807,1.63E-06
0.000100,6.93E-06,0.00692531,5,0.7,0.4,0,288796000,0.399103,0.668539,1.21E-06,0.998667,2.51E-07,0.000488043,1.23E-06
0.000100,5.93E-06,0.00474307,5,0.7,0.5,0,337334000,0.366373,0.743154,9.67E-07,0.998666,2.51E-07,0.000389352,9.78E-07
0.000100,5.32E-06,0.00354488,5,0.7,0.6,0,376130000,0.338015,0.819483,8.02E-07,0.998666,2.51E-07,0.000322037,8.09E-07
0.000100,4.91E-06,0.00280428,5,0.7,0.7,0,407540000,0.31315,0.897786,6.83E-07,0.998666,2.51E-07,0.000273372,6.87E-07
0.000100,4.58E-06,0.00229239,5,0.7,0.8,0,436226000,0.291513,0.976794,5.95E-07,0.998666,2.51E-07,0.000237285,5.96E-07
0.000500,0.000118755,0.475019,5,0.7,0.1,0,16841400,0.553239,0.435845,2.32E-05,0.998167,1.25E-06,0.00935662,2.35E-05
0.000500,6.15E-05,0.122916,5,0.7,0.2,0,32542700,0.486817,0.518053,1.20E-05,0.998161,1.25E-06,0.00482587,1.21E-05
0.000500,4.33E-05,0.0577033,5,0.7,0.3,0,46213400,0.438159,0.594092,8.06E-06,0.998159,1.25E-06,0.00325242,8.17E-06
0.000500,3.47E-05,0.0346592,5,0.7,0.4,0,57704800,0.399086,0.668576,6.06E-06,0.998157,1.25E-06,0.00244279,6.14E-06
0.000500,2.97E-05,0.0237377,5,0.7,0.5,0,67403400,0.366354,0.743201,4.84E-06,0.998156,1.25E-06,0.00194883,4.90E-06
0.000500,2.66E-05,0.0177319,5,0.7,0.6,0,75194200,0.338006,0.819508,4.01E-06,0.998155,1.25E-06,0.00161221,4.05E-06
0.000500,2.45E-05,0.0140273,5,0.7,0.7,0,81473800,0.313157,0.897763,3.42E-06,0.998154,1.25E-06,0.00136859,3.44E-06
0.000500,2.29E-05,0.0114667,5,0.7,0.8,0,87208800,0.291509,0.976809,2.98E-06,0.998153,1.25E-06,0.00118794,2.98E-06
0.001000,0.000237786,0.951144,5,0.7,0.1,0,8410920,0.553228,0.435858,4.64E-05,0.997539,2.51E-06,0.0187318,4.71E-05
0.001000,0.00012306,0.24612,5,0.7,0.2,0,16252200,0.486802,0.518074,2.39E-05,0.997529,2.51E-06,0.00966392,2.43E-05
0.001000,8.67E-05,0.115543,5,0.7,0.3,0,23079500,0.438143,0.594121,1.61E-05,0.997524,2.51E-06,0.00651334,1.64E-05
0.001000,6.94E-05,0.0694,5,0.7,0.4,0,28818500,0.399064,0.66862,1.21E-05,0.997521,2.51E-06,0.00489205,1.23E-05
0.001000,5.94E-05,0.0475313,5,0.7,0.5,0,33662100,0.36633,0.743259,9.68E-06,0.997519,2.51E-06,0.00390286,9.81E-06
0.001000,5.32E-05,0.0354824,5,0.7,0.6,0,37577300,0.338031,0.819437,8.03E-06,0.997516,2.51E-06,0.00322955,8.11E-06
0.001000,4.91E-05,0.0280693,5,0.7,0.7,0,40715500,0.313168,0.897724,6.84E-06,0.997514,2.51E-06,0.00274154,6.89E-06
0.001000,4.59E-05,0.0229454,5,0.7,0.8,0,43581600,0.291528,0.976732,5.96E-06,0.997512,2.51E-06,0.00237966,5.98E-06
0.005000,0.00120011,4.80045,5,0.7,0.1,0,1666510,0.553121,0.435974,0.000231844,0.992521,1.25E-05,0.0941581,0.000236578
0.005000,0.000621134,1.24227,5,0.7,0.2,0,3219920,0.486681,0.518245,0.000120065,0.992467,1.25E-05,0.0488039,0.000122623
0.005000,0.000437406,0.583208,5,0.7,0.3,0,4572410,0.437989,0.594388,8.10E-05,0.992443,1.25E-05,0.0329094,8.27E-05
0.005000,0.000350302,0.350302,5,0.7,0.4,0,5709360,0.398882,0.669003,6.09E-05,0.992427,1.25E-05,0.0247217,6.21E-05
0.005000,0.000299895,0.239916,5,0.7,0.5,0,6668990,0.366144,0.743722,4.86E-05,0.992415,1.25E-05,0.0197245,4.96E-05
0.005000,0.000267246,0.178164,5,0.7,0.6,0,7483750,0.338076,0.819304,4.04E-05,0.992403,1.25E-05,0.0163549,4.11E-05
0.005000,0.000246642,0.140938,5,0.7,0.7,0,8108930,0.313236,0.897495,3.44E-05,0.992391,1.25E-05,0.0138841,3.49E-05
0.005000,0.000230416,0.115208,5,0.7,0.8,0,8679940,0.2916,0.97645,3.00E-05,0.99238,1.25E-05,0.0120518,3.03E-05
0.010000,0.00242878,9.71511,5,0.7,0.1,0,823460,0.552908,0.436207,0.000461046,0.986247,2.51E-05,0.188645,0.000473982
0.010000,0.00125717,2.51434,5,0.7,0.2,0,1590870,0.486515,0.518478,0.000241202,0.986133,2.51E-05,0.0988062,0.000248257
0.010000,0.000885338,1.18045,5,0.7,0.3,0,2259020,0.437792,0.594729,0.000162747,0.986084,2.51E-05,0.0666912,0.000167566
0.010000,0.000709038,0.709038,5,0.7,0.4,0,2820720,0.398658,0.669471,0.000122353,0.986052,2.51E-05,0.0501124,0.000125911
0.010000,0.000607007,0.485605,5,0.7,0.5,0,3294860,0.365908,0.74431,9.78E-05,0.986027,2.51E-05,0.0399879,0.000100472
0.010000,0.000539938,0.359959,5,0.7,0.6,0,3704130,0.337935,0.819717,8.13E-05,0.986004,2.51E-05,0.0331818,8.34E-05
0.010000,0.000495896,0.283369,5,0.7,0.7,0,4033100,0.313325,0.897191,6.94E-05,0.985981,2.51E-05,0.0282221,7.09E-05
0.010000,0.00046326,0.23163,5,0.7,0.8,0,4317230,0.291687,0.97611,6.05E-05,0.985958,2.51E-05,0.0244986,6.16E-05
0.000010,2.37E-06,0.00948956,5,0.8,0.1,0,843032000,0.511014,0.485631,1.73E-07,0.998781,2.51E-08,7.02E-05,1.76E-07
0.000010,1.23E-06,0.00245549,5,0.8,0.2,0,1629000000,0.422054,0.623122,9.20E-08,0.998781,2.51E-08,3.71E-05,9.32E-08
0.000010,8.65E-07,0.00115274,5,0.8,0.3,0,2313330000,0.360842,0.757099,6.38E-08,0.998781,2.51E-08,2.55E-05,6.42E-08
0.000010,6.92E-07,0.000692385,5,0.8,0.4,0,2888570000,0.315176,0.890944,4.94E-08,0.998781,2.51E-08,1.96E-05,4.92E-08
0.000010,5.93E-07,0.000474207,5,0.8,0.5,0,3374050000,0.279564,1.02566,4.06E-08,0.998781,2.51E-08,1.59E-05,4.00E-08
